symbol,date,open,high,low,close,adj_close,volume
BHARTIARTL,2024-03-31 18:30:00,1228.0,1231.9,1208.0,1217.35,1217.35,5461473
BHARTIARTL,2024-03-27 18:30:00,1226.95,1238.5,1220.3,1228.6,1228.6,10518377
BHARTIARTL,2024-03-26 18:30:00,1210.55,1228.25,1210.55,1224.8,1224.8,5779169
BHARTIARTL,2024-03-25 18:30:00,1225.0,1234.0,1210.0,1213.1,1213.1,10898138
SBIN,2024-03-31 18:30:00,759.05,761.5,752.1,758.3,758.3,9949971
SBIN,2024-03-27 18:30:00,737.75,759.55,736.9,752.35,752.35,21705116
SBIN,2024-03-27 18:30:00,734.2,752.6,734.2,752.35,752.35,16
SBIN,2024-03-26 18:30:00,743.0,745.85,730.2,733.3,733.3,30088789
SBIN,2024-03-25 18:30:00,743.05,747.85,738.5,740.05,740.05,14678342
ADANIENT,2024-03-31 18:30:00,3230.2,3291.8,3207.85,3252.1,3252.1,1292646
ADANIENT,2024-03-27 18:30:00,3134.0,3237.0,3096.75,3197.1,3197.1,2327053
ADANIENT,2024-03-26 18:30:00,3115.0,3138.45,3106.25,3122.1,3122.1,900231
ADANIENT,2024-03-25 18:30:00,3100.5,3171.95,3089.1,3109.95,3109.95,937103
TMPV,2024-03-31 18:30:00,1000.0,1009.85,987.45,992.25,992.25,8629407
TMPV,2024-03-27 18:30:00,982.5,999.9,979.0,992.8,992.8,9862996
TMPV,2024-03-26 18:30:00,991.6,995.0,976.7,978.65,978.65,6640537
TMPV,2024-03-25 18:30:00,977.0,995.0,976.0,986.2,986.2,9461531
RELIANCE,2024-03-31 18:30:00,2984.95,2987.95,2965.0,2969.55,2969.55,2506940
RELIANCE,2024-03-27 18:30:00,2985.75,3011.9,2957.3,2971.7,2971.7,10927182
RELIANCE,2024-03-26 18:30:00,2896.0,3000.0,2894.0,2985.7,2985.7,8163322
RELIANCE,2024-03-25 18:30:00,2890.0,2904.8,2878.0,2883.15,2883.15,5707953
MUTHOOTFIN,2024-03-31 18:30:00,1505.0,1585.0,1505.0,1563.7,1563.7,1405599
MUTHOOTFIN,2024-03-27 18:30:00,1475.0,1495.0,1465.8,1480.45,1480.45,607341
MUTHOOTFIN,2024-03-26 18:30:00,1478.85,1488.05,1448.25,1478.2,1478.2,2344685
MUTHOOTFIN,2024-03-25 18:30:00,1420.0,1495.85,1410.95,1483.15,1483.15,1560486
BSE,2024-03-31 18:30:00,2557.4,2724.0,2530.0,2709.9,2709.9,3093592
BSE,2024-03-27 18:30:00,2488.2,2570.0,2415.75,2515.9,2515.9,1681440
BSE,2024-03-26 18:30:00,2332.0,2475.4,2317.0,2463.6,2463.6,2313292
BSE,2024-03-25 18:30:00,2224.0,2325.0,2215.0,2310.2,2310.2,1231753
ADANIGREEN,2024-03-31 18:30:00,1865.0,1908.9,1865.0,1888.3,1888.3,573430
ADANIGREEN,2024-03-27 18:30:00,1832.55,1863.0,1820.0,1835.15,1835.15,605145
ADANIGREEN,2024-03-26 18:30:00,1869.7,1895.0,1804.0,1822.5,1822.5,1172737
ADANIGREEN,2024-03-25 18:30:00,1840.0,1938.7,1840.0,1859.0,1859.0,955701
HDFCBANK,2024-03-31 18:30:00,1458.0,1473.8,1455.6,1470.5,1470.5,12599785
HDFCBANK,2024-03-27 18:30:00,1440.7,1460.5,1440.7,1447.9,1447.9,27796071
HDFCBANK,2024-03-26 18:30:00,1423.55,1447.95,1421.25,1440.7,1440.7,31084334
HDFCBANK,2024-03-25 18:30:00,1427.2,1437.95,1422.15,1425.4,1425.4,28422145
