date,360ONE,3MINDIA,ABB,ABBOTINDIA,ABCAPITAL,ACC,ADANIENSOL,ADANIENT,ADANIGREEN,ADANIPORTS,ADANIPOWER,AIAENG,AIIL,AJANTPHARM,ALKEM,AMBUJACEM,ANTHEM,APARINDS,APLAPOLLO,APOLLOHOSP,APOLLOTYRE,ASHOKLEY,ASIANPAINT,ASTRAL,ATGL,AUBANK,AUROPHARMA,AWL,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJAJHFL,BAJAJHLDNG,BAJFINANCE,BALKRISIND,BANKBARODA,BANKINDIA,BDL,BEL,BERGEPAINT,BHARATFORG,BHARTIARTL,BHARTIHEXA,BHEL,BIOCON,BLUESTARCO,BOSCHLTD,BPCL,BRITANNIA,BSE,CANBK,CGPOWER,CHOLAFIN,CIPLA,COALINDIA,COCHINSHIP,COFORGE,COLPAL,CONCOR,COROMANDEL,CRISIL,CUMMINSIND,DABUR,DALBHARAT,DIVISLAB,DIXON,DLF,DMART,DRREDDY,EICHERMOT,ENDURANCE,ENRIN,ESCORTS,ETERNAL,EXIDEIND,FEDERALBNK,FLUOROCHEM,FORTIS,GAIL,GICRE,GLAXO,GLENMARK,GMRAIRPORT,GODFRYPHLP,GODREJCP,GODREJIND,GODREJPROP,GRASIM,GROWW,GVT&D,HAL,HAVELLS,HCLTECH,HDBFS,HDFCAMC,HDFCBANK,HDFCLIFE,HEROMOTOCO,HEXT,HINDALCO,HINDPETRO,HINDUNILVR,HINDZINC,HONAUT,HUDCO,HYUNDAI,ICICIAMC,ICICIBANK,ICICIGI,ICICIPRULI,IDEA,IDFCFIRSTB,INDHOTEL,INDIANB,INDIGO,INDUSINDBK,INDUSTOWER,INFY,IOC,IPCALAB,IRCTC,IREDA,IRFC,ITC,ITCHOTELS,JINDALSTEL,JIOFIN,JKCEMENT,JSL,JSWENERGY,JSWINFRA,JSWSTEEL,JUBLFOOD,KALYANKJIL,KEI,KOTAKBANK,KPITTECH,KPRMILL,LAURUSLABS,LENSKART,LGEINDIA,LICHSGFIN,LICI,LINDEINDIA,LLOYDSME,LODHA,LT,LTF,LTM,LTTS,LUPIN,M&M,M&MFIN,MAHABANK,MANKIND,MARICO,MARUTI,MAXHEALTH,MAZDOCK,MCX,MEDANTA,MFSL,MOTHERSON,MOTILALOFS,MPHASIS,MRF,MUTHOOTFIN,NAM-INDIA,NATIONALUM,NAUKRI,NESTLEIND,NHPC,NIACL,NLCINDIA,NMDC,NTPC,NTPCGREEN,NYKAA,OBEROIRLTY,OFSS,OIL,ONGC,PAGEIND,PATANJALI,PAYTM,PERSISTENT,PETRONET,PFC,PHOENIXLTD,PIDILITIND,PIIND,PNB,POLICYBZR,POLYCAB,POWERGRID,POWERINDIA,PREMIERENE,PRESTIGE,RADICO,RECLTD,RELIANCE,RVNL,SAIL,SBICARD,SBILIFE,SBIN,SCHAEFFLER,SHREECEM,SHRIRAMFIN,SIEMENS,SJVN,SOLARINDS,SRF,SUNDARMFIN,SUNPHARMA,SUPREMEIND,SUZLON,SWIGGY,TATACAP,TATACOMM,TATACONSUM,TATAELXSI,TATAINVEST,TATAPOWER,TATASTEEL,TCS,TECHM,THERMAX,TIINDIA,TITAN,TMCV,TMPV,TORNTPHARM,TORNTPOWER,TRENT,TVSMOTOR,UBL,ULTRACEMCO,UNIONBANK,UNITDSPR,UNOMINDA,UPL,VBL,VEDL,VMM,VOLTAS,WAAREEENER,WIPRO,YESBANK,ZYDUSLIFE
2016-05-15,,13126.85,1263.7,4701.5,,1458.2,29.95,76.15,,185.8,,952.95,,1592.55,1194.65,,,474.0,863.85,1343.85,,,952.65,429.8,,,787.8,,486.45,2512.1,1857.9,,1538.25,7771.1,667.65,,,,1134.75,,753.75,353.45,,,627.05,427.35,21363.6,922.7,2935.55,,,,900.9,521.8,,,473.6,824.5,1370.05,225.95,2091.1,850.3,,,1057.25,,,,3002.4,19063.15,,,173.85,,,,,166.65,,,3435.4,873.95,,831.65,1392.1,347.0,323.7,4267.55,,351.0,,357.6,718.95,,,1162.8,,2900.6,,89.8,836.0,846.25,,9193.15,1089.25,,,223.75,,,,,,,1030.5,1080.8,,1215.0,,452.1,,,,,,61.35,,581.4,,,,651.425,1183.45,,107.5,718.25,,936.35,,,,,,262.6,,,1283.25,72.1,,,1603.85,1316.3,298.45,,,,3881.6,,,869.65,,383.0,,286.95,463.75,33031.0,954.89,,,744.0,6284.45,21.4,,,,754.384,,,277.7,3443.8,,,13321.35,,,717.1,,173.85,318.6,605.7,616.6,,,,,,,169.05,87.6,927.5459999999999,975.95,,,,,5823.545,3950.6,13341.15,,1150.9,,3321.4,1260.15,1351.65,797.85,865.2,,,,435.0,120.65,1899.8,489.35,,326.4,2551.15,486.95,750.75,,364.85,,392.7,1398.95,225.25,1770.25,295.25,751.45,3171.7,,2634.8,1085.85,584.85,,,,325.05,,,980.3,321.7
2016-05-16,,13059.1,1259.25,4695.75,,1449.4,29.65,74.95,,183.25,29.45,939.9,,1585.2,1192.75,217.25,,475.3,870.4,1338.15,157.15,103.5,969.65,428.2,,,776.35,,503.35,2506.55,1857.05,,1515.0,7758.4,669.1,142.3,83.0,,1132.55,290.1,750.6,351.2,,121.25,625.8,433.15,21603.3,945.3,3005.65,,178.35,61.45,888.95,523.75,282.85,,478.8,828.15,1371.8,227.95,2079.85,850.05,284.95,,1090.15,,124.35,,3017.75,18601.65,,,178.9,,147.5,50.85,,167.25,377.35,,3417.6,859.6,11.65,897.35,1379.2,351.0,329.8,4282.45,,353.5,,366.0,732.3,,,1153.45,,2932.45,,89.1,842.6,834.05,167.15,9466.15,1082.2525,,,225.95,,,112.1,5337.87625,115.8,90.65,1049.95,1084.45,385.2,1214.25,409.5,450.0,,1164.325,,329.4,,60.2,,582.55,16.65,70.2,,648.625,1171.05,,116.0,708.9,,939.8,,,,463.0,,263.1,,,1291.1,71.35,,,1613.0,1341.95,296.5,28.6,,251.6,3950.7,,,870.4,,379.35,267.9,294.25,462.25,32810.2,955.2966666666666,,41.65,739.1,6219.6,21.45,,68.25,89.5,637.4625,,,278.1,3422.1,329.65,202.6,13268.25,,,721.75,276.5,170.4,313.25,606.85,619.15,74.95,,,144.45,,,168.05,88.65,926.058,969.15,,40.8,,,5816.945000000001,3916.25,12881.65,,1160.35,28.0,3339.15,1264.45,1339.35,799.9,878.5,14.95,,,432.45,120.35,1923.85,541.95,70.25,327.15,2570.2,483.8,746.0,,364.75,,389.7,1385.2,224.8,1770.55,294.15,745.35,3252.75,109.1,2626.95,1091.55,580.2,,99.95,,334.55,,540.8,969.95,320.55
2016-05-17,,13009.7,1257.8,4684.2,,1434.05,29.7,74.95,,183.2,29.25,937.6,,1576.8,1220.8,216.9,,508.5,879.65,1356.85,153.55,102.9,963.25,429.4,,,782.7,,501.1,2461.7,1859.05,,1534.05,7742.55,670.3,141.9,84.05,,1149.85,294.5,736.05,351.25,,121.0,623.05,437.95,21052.85,933.1,2971.6,,181.1,61.25,883.55,524.55,283.85,,479.05,828.0,1364.8,225.25,2073.65,858.8,281.2,,1070.65,,124.1,,3025.3,18720.0,,,177.0,,148.2,50.55,,170.4,383.9,,3388.7,849.75,11.75,890.0,1384.85,351.0,334.3,4265.65,,351.65,,364.1,742.25,,,1140.65,,2878.45,,89.15,842.8,825.5,168.35,9338.15,1055.6100000000001,,,226.45,,,111.2,5214.41,115.35,91.05,1025.6,1083.0,386.4,1209.85,407.65,453.1,,1156.35,,330.5,,61.55,,589.55,16.65,71.0,,658.275,1166.6,,118.6,708.9,,941.65,,,,462.1,,262.2,,,1309.85,71.05,,,1638.15,1326.0,299.75,28.6,,249.4,3914.9,,,869.15,,379.9,290.4,299.85,466.6,32874.4,951.4,,42.1,739.8,6200.15,21.65,,70.0,88.85,683.818,,,280.0,3489.05,341.2,210.25,13256.3,,,734.4,279.1,174.95,306.85,608.65,625.7,73.75,,,144.9,,,175.95,89.65,875.475,970.55,,40.95,,,7552.763333333333,3923.35,13185.25,,1152.95,27.65,3301.7,1264.4,1347.4,795.3,888.45,15.15,,,450.7,120.95,1919.7,544.3,70.0,329.05,2551.1,484.75,730.65,,365.25,,384.85,1381.85,227.2,1760.6,297.65,735.85,3223.6,108.1,2534.35,1099.25,570.4,,100.05,,331.15,,540.15,971.25,320.0
2016-05-18,,12655.8,1241.35,4659.2,,1409.85,28.9,71.5,,171.55,29.85,958.75,,1578.0,1227.05,216.65,,491.7,852.5,1321.0,152.8,102.2,956.8,428.05,,,769.2,,490.5,2435.45,1853.45,,1509.95,7738.2,701.8,142.4,85.25,,1117.8,295.85,718.45,344.8,,119.55,619.05,428.1,20988.1,943.25,2995.95,,184.9,60.55,876.35,512.7,283.95,,473.05,819.9,1357.1,223.6,2064.25,858.85,286.35,,1056.25,,127.45,,3025.6,18200.7,,,172.6,,151.35,50.4,,168.5,382.35,,3345.2,854.1,11.75,881.95,1364.0,342.4,333.0,4252.25,,348.8,,356.5,730.1,,,1139.3,,2891.3,,87.05,838.2,815.1,167.95,9167.45,1066.358,,,225.55,,,110.5,5195.16,114.5,91.2,1008.4,1072.1,383.1,1205.75,406.6,447.15,,1155.0,1120.3,332.7,,60.35,,587.55,16.9,70.8,,663.75,1146.05,,114.2,706.05,,916.5,,,,461.5,,262.5,,,1266.1,71.1,,,1655.45,1311.05,293.75,28.5,,251.1,3926.6,,,854.9,,377.4,276.1,297.3,465.1,32579.2,972.2025,,41.5,740.05,6092.0,21.4,,69.7,92.55,743.434,,,277.05,3510.45,345.0,214.25,13269.75,,,722.05,274.8,169.2,305.45,616.55,622.05,76.2,,,143.05,,,177.05,87.95,946.6666666666666,951.2,,42.25,,,7571.333333333333,3922.15,13537.3,,1137.7,27.65,3286.0,1232.35,1342.6,792.5,889.4,15.6,,,444.1,119.95,1875.05,525.2,70.0,326.25,2556.95,484.0,728.7,,363.95,,386.9,1374.7,201.45,1764.4,296.45,738.9,3189.5,110.5,2445.15,1093.75,561.05,,99.25,,323.05,,539.55,966.9,324.7
2016-05-19,,12716.3,1209.0,4685.85,,1393.45,28.65,68.9,,177.95,28.95,932.9,,1569.35,1233.15,213.65,,486.25,854.8,1329.2,150.8,101.95,956.0,425.35,,,770.1,,490.6,2453.0,1804.8,,1481.8,7770.5,672.65,137.2,82.4,,1100.1,284.2,718.6,341.95,,119.25,622.05,425.8,21049.55,920.5,2930.7,,178.75,60.8,881.25,507.1,280.3,,474.9,808.9,1336.4,222.0,2088.85,864.5,281.55,,1043.25,,124.05,,3033.8,18280.65,,,171.6,,150.1,49.65,,167.65,372.4,,3390.9,861.45,11.45,872.05,1370.0,340.25,330.35,4206.75,,338.75,,365.5,736.65,,,1140.9,,2896.7,,86.95,832.2,812.4,166.8,9023.3,1108.525,,,220.1,,,107.55,4827.86,113.0,90.05,962.5,1070.45,384.5,1201.6,411.95,449.65,,1170.8600000000001,1116.4818181818182,324.85,,59.95,,586.4,16.85,69.4,,656.125,1119.9,,112.0,702.15,,909.85,,,,454.7,,260.7,,,1255.1,71.35,,,1504.8,1293.1,295.6,28.05,,248.55,3944.95,,,857.05,,368.15,271.15,305.5,466.6,32005.8,968.8299999999999,,41.1,749.65,6005.7,21.65,,69.05,89.85,718.372,,,267.05,3413.5,341.0,210.05,13047.9,,,724.85,267.35,167.9,300.05,653.7,630.1,74.05,,,144.4,,,173.3,87.1,912.65,934.2,,40.2,,,7501.283333333333,3884.4,13007.05,,1134.4,27.55,3261.35,1200.85,1330.8,791.35,884.2,15.1,,,446.1,120.05,1844.95,527.2,68.4,322.65,2529.3,475.85,705.75,,366.05,,384.45,1325.05,194.95,1759.85,297.5,731.9,3134.0,106.9,2445.55,1105.45,576.3,,94.95,,331.7,,542.95,977.7,321.55
2016-05-20,,,,,,,,,,,28.5,,,,,208.85,,,,,152.3,99.45,,,,,,,,,,,,,,135.05,81.25,,,280.35,,,,119.3,,,,,,,183.55,61.3,,,279.0,,,,,,,,277.1,,,,122.7,,,,,,,,153.3,50.6,,,371.55,,,,11.25,,,,,,,,,,,,,,,,,,,,161.45,,,,,,,,109.15,,112.8,90.15,,,377.55,,409.5,,,,,330.35,,,,,16.9,68.0,,,,,,,,,,,,444.45,,,,,,,,,,,,28.0,,243.15,,,,,,,267.85,,,,,,40.55,,,,,68.6,91.6,,,,,,339.15,213.1,,,,,264.3,,,,,73.35,,,144.8,,,,,,,,39.6,,,,,,,,27.55,,,,,,15.05,,,,,,,69.4,,,,,,,,,,,,,,,105.7,,,,,96.95,,,,543.4,,
2016-05-22,,12979.95,1219.6,4587.35,,1418.0,29.85,69.7,,181.1,,930.85,,1487.3,1252.7,,,487.25,855.45,1358.6,,,946.6,425.8,,,759.7,,486.5,2421.8,1806.15,,1493.7,7653.7,669.85,,,,1098.65,,712.5,345.85,,,640.85,428.3,21057.3,921.9,2682.5,,,,876.6,497.4,,,475.2,811.2,1371.55,226.3,2085.85,871.7,,,1034.7,,,,3029.8,18268.1,,,167.05,,,,,167.25,,,3378.3,858.15,,871.4,1361.45,338.85,320.65,4211.15,,334.75,,366.3,733.55,,,1136.75,,2887.55,,86.9,829.15,819.6,,8840.7,1066.9966666666667,,,221.1,,,,5372.33,,,992.2,1056.3,,1188.0,,446.45,,1201.0,1123.501,,,59.3,,592.85,,,,662.9,1112.0,,113.45,703.15,,902.05,,,,,,261.15,,,1241.2,71.35,,,1465.05,1284.95,294.4,,,,3913.85,,,920.45,,372.55,,308.8,480.3,31783.8,984.4575,,,747.1,5966.55,539.475,,,,629.5699999999999,,,266.9,3387.45,,,12960.9,,,728.3,,167.75,300.0,651.15,629.45,,,,,,,169.95,85.65,920.05,930.0,,,,,7535.463333333333,3900.1,13095.55,,1127.85,,3279.5,1185.2,1314.85,784.55,905.5,,,,449.65,120.4,1834.9,525.3,,313.55,2491.45,476.45,705.25,,362.6,,381.75,1329.55,185.3,1752.95,295.1,715.5,3122.4,,2466.55,1155.8,570.7,,,,328.8,,,978.1,324.6
2016-05-23,,12960.7,1190.65,4498.2,,1446.15,29.6,70.55,,180.85,28.0,928.8,,1463.95,1225.8,212.6,,496.55,851.3,1360.6,151.5,100.0,956.25,419.35,,,727.8,,488.95,2379.4,1762.25,,1507.65,7625.55,679.8,131.8,80.85,,1108.9,277.55,726.3,345.15,,118.75,644.15,428.35,21221.65,895.95,2654.05,,180.8,62.25,896.15,494.05,280.5,,475.45,834.4,1382.35,225.05,2107.3,870.6,285.6,,1030.25,,121.25,,3025.15,18177.3,,,171.25,,153.1,49.55,,167.75,370.75,,3403.55,860.15,10.95,859.75,1394.75,347.05,322.05,4290.35,,327.2,,366.9,739.25,,,1254.975,,2899.4,,86.3,807.55,823.1,166.6,8657.85,1089.7033333333331,,,224.55,,,110.2,5138.828333333334,115.05,90.4,980.3,1043.65,383.5,1187.75,404.4,441.05,,1202.0,1109.4066666666668,346.85,,58.2,,592.3,16.6,67.2,,663.75,1063.5,,111.1,698.4,,890.65,,,,435.2,,257.55,,,1242.15,72.05,,,1465.15,1294.8,304.25,27.75,,247.55,3924.2,,,912.6,,380.45,264.05,306.5,472.05,31164.45,651.3,,41.55,755.7,6003.9,22.05,,68.25,88.7,780.055,,,268.4,3340.45,339.55,208.15,13158.3,,,727.4,259.6,170.3,300.6,657.35,599.05,72.25,,,148.15,,,171.45,84.1,965.3833333333333,940.45,,39.1,,,5807.835,3899.8,12974.3,1131.3200000000002,1126.45,27.55,3209.7,1205.8,1315.25,772.3,900.2,14.85,,,447.8,121.75,1779.65,509.25,70.65,317.7,2467.7,480.25,709.95,,362.6,,389.1,1354.5,182.4,1762.65,294.35,710.1,3174.45,105.35,2464.45,1130.65,568.25,,97.5,,326.25,,539.85,977.0,317.65
2016-05-24,,13074.85,1217.15,4554.45,,1475.05,29.95,71.1,,182.85,28.05,919.65,,1475.75,1234.7,215.45,,490.95,877.55,1339.9,147.75,101.6,982.25,415.3,,,742.4,,502.15,2475.3,1789.35,,1501.75,7337.25,675.4,129.8,80.45,,1109.15,274.25,741.45,351.65,,117.7,649.7,429.95,21894.85,917.4,2751.45,,181.8,62.35,892.3,469.8,279.55,,475.1,834.9,1388.75,228.0,2107.35,861.9,283.1,,1040.05,,120.0,,3051.55,18530.65,,,173.7,,151.8,49.45,,169.0,370.9,,3436.0,861.65,10.8,885.2,1457.1,348.5,319.55,4343.45,,330.3,,373.35,749.35,,,1173.3,,2927.25,,88.75,841.0,840.1,166.55,8800.8,1101.1933333333334,,,235.0,,,107.4,5343.0625,114.05,90.05,985.3,1096.15,384.1,1208.65,396.85,443.05,,1239.99,1129.382,348.05,,59.55,,597.7,16.0,67.0,,653.8249999999999,1090.75,,112.25,712.75,,901.5,,,,434.4,,262.1,,,1291.6,72.3,,,1472.35,1311.75,308.6,27.5,,245.8,4060.95,,,921.8,,382.1,256.45,315.8,476.0,31965.4,777.9833333333335,,42.3,768.9,6145.85,22.3,,71.55,89.85,736.716,,,276.95,3394.85,341.6,206.65,12938.9,,,723.8,254.2,169.05,300.0,681.65,635.7,71.85,,,146.7,,,170.0,84.65,894.4125,951.2,,39.15,,,7533.600000000001,3944.5,13199.15,1244.967,1144.2,28.0,3208.1,1235.0,1340.65,785.45,903.95,14.75,,,458.85,119.5,1809.2,516.3,71.7,324.6,2526.45,528.5,710.55,,364.55,,397.0,1391.45,176.7,1809.3,296.2,713.8,3209.45,106.85,2498.45,1168.9,588.35,,96.8,,337.15,,537.65,996.0,319.6
2016-05-25,,13164.2,1243.3,4703.45,,1504.05,30.65,74.1,,184.8,28.6,937.15,,1501.5,1258.7,222.4,,492.5,871.6,1345.9,151.8,97.25,991.85,410.0,,,744.55,,519.0,2505.15,1792.15,,1530.6,7458.35,692.9,133.2,83.1,,1124.0,285.6,751.4,352.85,,122.55,657.3,432.2,21817.35,926.8,2744.4,,193.35,60.85,874.05,467.95,281.0,,474.95,835.5,1362.1,232.55,2144.9,807.65,288.7,,1041.5,,122.65,,3090.7,18394.35,,,173.45,,156.95,50.7,,173.15,381.55,,3505.7,865.15,11.2,873.7,1484.5,343.85,322.2,4331.0,,344.65,,376.85,740.9,,,1183.25,,2962.2,,90.3,849.65,850.35,166.95,8858.25,1098.7033333333331,,,241.15,,,109.55,4805.812,115.35,89.6,993.9,1103.9,394.85,1234.15,403.15,441.95,,1155.2,1107.1875,356.05,,60.7,,595.15,16.0,67.9,,663.125,1153.0,,110.55,730.2,,907.25,,,,443.35,,269.5,,,1474.15,73.75,,,1469.95,1339.1,319.35,27.6,,250.8,4118.0,,,932.65,,366.3,265.7,315.85,474.3,32553.05,777.0333333333333,,43.1,794.1,6142.0,22.65,,69.7,90.9,633.4775,,,273.6,3465.65,342.65,210.15,13320.05,,,731.45,267.75,167.35,300.0,680.65,672.55,74.0,,,149.7,,,170.1,85.2,605.85,946.85,,40.25,,,5790.5,3948.65,12946.65,1195.7185714285715,1186.15,28.1,3221.7,1235.65,1359.75,779.35,930.6,15.0,,,457.55,118.6,1815.05,520.25,73.15,325.2,2548.7,542.3,742.55,,361.9,,399.25,1382.4,188.6,1766.25,299.1,716.2,3213.65,109.35,2464.65,1169.85,592.95,,99.3,,338.35,,546.1,1021.05,320.15
