symbol,company_name,series,isin_code,sector
BHARTIARTL,Bharti Airtel Limited,EQ,INE397D01024,Telecom - Cellular & Fixed line services
SBIN,State Bank of India,EQ,INE062A01020,Public Sector Bank
ADANIENT,Adani Enterprises Limited,EQ,INE423A01024,Trading - Minerals
TMPV,Tata Motors Passenger Vehicles Limited,EQ,INE155A01022,Passenger Cars & Utility Vehicles
RELIANCE,Reliance Industries Limited,EQ,INE002A01018,Refineries & Marketing
MUTHOOTFIN,Muthoot Finance Limited,EQ,INE414G01012,Non Banking Financial Company (NBFC)
VEDL,Vedanta Limited,EQ,INE205A01025,Diversified Metals
BSE,BSE Limited,EQ,INE118H01025,Exchange and Data Platform
ADANIPOWER,Adani Power Limited,EQ,INE814H01029,Integrated Power Utilities
ADANIGREEN,Adani Green Energy Limited,EQ,INE364U01010,Power Generation
HDFCBANK,HDFC Bank Limited,EQ,INE040A01034,Private Sector Bank
IDEA,Vodafone Idea Limited,EQ,INE669E01016,Telecom - Cellular & Fixed line services
MCX,Multi Commodity Exchange of India Limited,EQ,INE745G01043,Exchange and Data Platform
INFY,Infosys Limited,EQ,INE009A01021,Computers - Software & Consulting
ICICIBANK,ICICI Bank Limited,EQ,INE090A01021,Private Sector Bank
HAL,Hindustan Aeronautics Limited,EQ,INE066F01020,Aerospace & Defense
ADANIPORTS,Adani Ports and Special Economic Zone Limited,EQ,INE742F01042,Port & Port services
DIXON,Dixon Technologies (India) Limited,EQ,INE935N01020,Consumer Electronics
TCS,Tata Consultancy Services Limited,EQ,INE467B01029,Computers - Software & Consulting
KOTAKBANK,Kotak Mahindra Bank Limited,EQ,INE237A01036,Private Sector Bank
TATASTEEL,Tata Steel Limited,EQ,INE081A01020,Iron & Steel
UNITDSPR,United Spirits Limited,EQ,INE854D01024,Breweries & Distilleries
ADANIENSOL,Adani Energy Solutions Limited,EQ,INE931S01010,Power Distribution
JSWSTEEL,JSW Steel Limited,EQ,INE019A01038,Iron & Steel
HINDALCO,Hindalco Industries Limited,EQ,INE038A01020,Aluminium
